y,X
0,ok lar joke wif u oni
1,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
0,u dun say earli hor u c alreadi say
0,nah dont think goe usf live around though
1,freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv
1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
0,im gon na home soon dont want talk stuff anymor tonight k ive cri enough today
0,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,oh kim watch
0,im go tri month ha ha joke
0,im back amp pack car ill let know there room
1,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
0,oop ill let know roommat done
0,anyth lor u decid
0,pl go ahead watt want sure great weekend abiola
0,didnt get hep b immunis nigeria
0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find lturlgt
0,gon na pick burger way home cant even move pain kill
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
0,today song dedic day song u dedic send ur valuabl frnd first rpli
0,finish class
0,u call
0,like peopl much shi pa
0,ela kanoil download come wen ur free
0,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
0,im still look car buy gone drive test yet
0,thank lot wish birthday thank make birthday truli memor
0,plural noun research
0,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
1,winner u special select receiv holiday flight inc speak live oper claim pmin
0,goodo ye must speak friday eggpotato ratio tortilla need
1,privat account statement show unredeem bonu point claim call identifi code expir
0,good stuff
0,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
0,room
0,im home
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron
0,check room befor activ
0,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
0,know pl open back
0,what staff name take class us
1,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
0,ki delet contact
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
1,custom servic annonc new year deliveri wait pleas call arrang deliveri
0,keep safe need miss alreadi envi everyon see real life
0,new car hous parentsi new job hand
1,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu
0,place ur point e cultur modul alreadi
0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
0,haha awesom minut
0,ju reach home go bath first si use net tell u finish k
1,uniqu enough find th august wwwareyouuniquecouk
0,hamster dead hey tmr meet pm orchard mrt
0,sent ltgt buck
0,hello darlin ive finish colleg txt u finish u love kate xxx
0,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
0,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
0,aight yo dat straight dogg
0,yup noe leh
0,final match head toward draw predict
